5.870262322290411703e+02,9.244999316832905834e+02
8.548264490734820811e+02,8.200749558201314358e+02
7.930682022619937470e+02,9.509015901816237601e+02
8.887679047290589551e+02,8.376114612263945673e+02
8.751419052442599877e+02,7.797123888545227146e+02
1.155884425754037011e+03,4.949530901347062013e+02
8.845015891096151108e+02,8.690523534382472235e+02
1.155882849235063304e+03,8.181692632426627370e+02
9.043083073303218953e+02,6.641452409541122961e+02
8.699857426253464610e+02,6.827335179983406306e+02
8.598322575386243898e+02,7.352456043677607340e+02
9.422283910417097559e+02,6.539447033845016222e+02
5.781290979348895007e+02,8.202627125127939962e+02
7.443556837033713691e+02,8.859575896369138945e+02
8.161211352592574713e+02,9.759814106102148799e+02
7.783502059790320118e+02,8.712643918851239278e+02
5.921100296553695443e+02,1.227306855595499201e+03
7.642456704061452228e+02,8.439203315571497797e+02
6.626755055236878889e+02,9.562273090796015822e+02
7.317697349431279008e+02,8.806632652215472490e+02
